ID;Competence;nbEmp
1;A.1.;2
2;B.2.;2
3;A.1.;2
4;B.2.;2
5;A.1.;2
6;B.2.;2
7;A.1.;2
8;B.2.;2
9;A.1.;2
10;B.2.;2
11;A.1.;2
12;B.2.;2
13;A.1.;2
14;B.2.;2
15;A.1.;2
16;B.2.;2
17;A.1.;2
18;B.2.;2
19;A.1.;2
20;B.2.;2
21;A.1.;2
22;B.2.;2
23;A.1.;2
24;B.2.;2
25;A.1.;2
26;B.2.;2
27;A.1.;2
28;B.2.;2
29;A.1.;2
30;B.2.;2
31;A.1.;2
32;B.2.;2
33;A.1.;2
34;B.2.;2
35;A.1.;2
36;B.2.;5
37;A.1.;2
38;B.2.;5
39;A.1.;2
40;B.2.;5
41;A.1.;2
42;B.2.;5
43;A.1.;2
44;B.2.;5
45;A.1.;2
46;B.2.;5
47;A.1.;2
48;B.2.;5
49;A.1.;2
50;B.2.;5
51;A.1.;2
52;B.2.;5
53;A.1.;2
54;B.2.;5
55;A.1.;2
56;B.2.;5
57;A.1.;2
58;B.2.;5
59;A.1.;2
60;B.2.;5
61;A.1.;2
62;B.2.;5
63;A.1.;2
64;B.2.;5
65;A.1.;2
66;B.2.;5
67;A.1.;2
68;B.2.;5
69;A.1.;2
70;B.2.;5
71;A.1.;2
72;B.2.;5
73;A.1.;2
74;B.2.;5
75;A.1.;2
76;B.2.;5
77;A.1.;2
78;B.2.;5
79;A.1.;2
80;B.2.;5
81;A.1.;2
82;B.2.;5
83;A.1.;2
84;B.2.;5
85;A.1.;2
86;B.2.;5
87;A.1.;2
88;B.2.;5
89;A.1.;2
90;B.2.;5
91;A.1.;2
92;B.2.;5
93;A.1.;2
94;B.2.;5
95;A.1.;2
96;B.2.;5
97;A.1.;2
98;B.2.;5
99;A.1.;2
100;B.2.;5
101;A.1.;2
102;B.2.;5
103;A.1.;2
104;B.2.;5
105;A.1.;2
106;B.2.;5
107;A.1.;2
108;B.2.;5
109;A.1.;2
110;B.2.;5
111;A.1.;2
112;B.2.;5
113;A.1.;2
114;B.2.;5
115;A.1.;2
116;B.2.;5
117;A.1.;2
118;B.2.;5
119;A.1.;2
120;B.2.;5
121;A.1.;2
122;B.2.;5
123;A.1.;2
124;B.2.;5
125;A.1.;2
126;B.2.;5
127;A.1.;2
128;B.2.;5
129;A.1.;2
130;B.2.;5
131;A.1.;2
132;B.2.;5
133;A.1.;2
134;B.2.;5
135;A.1.;2
136;B.2.;5
137;A.1.;2
138;B.2.;5
139;A.1.;2
140;B.2.;5
141;A.1.;2
142;B.2.;5
143;A.1.;2
144;B.2.;5
145;A.1.;2
146;B.2.;5
147;A.1.;2
148;B.2.;5
149;A.1.;2
150;B.2.;5
151;A.1.;2
152;B.2.;5
153;A.1.;2
154;B.2.;5
155;A.1.;2
156;B.2.;5
157;A.1.;2
158;B.2.;5
159;A.1.;2
160;B.2.;5
161;A.1.;2
162;B.2.;5
163;A.1.;2
164;B.2.;5
